L;16;Thüringen
G;16;0;65;042;Kalbsrieth
G;16;0;65;046;Mönchpfiffel-Nikolausrieth
G;16;0;65;048;Niederbösa
G;16;0;65;051;Oberbösa
G;16;0;65;052;Oberheldrungen
G;16;0;65;056;Reinsdorf
G;16;0;65;058;Rockstedt
G;16;0;65;067;Sondershausen
G;16;0;65;074;Topfstedt
G;16;0;65;075;Trebra
G;16;0;65;077;Wasserthaleben
G;16;0;65;079;Westgreußen
G;16;0;65;085;Kyffhäuserland
G;16;0;65;086;Stadt Artern
G;16;0;65;087;Roßleben-Wiehe
G;16;0;65;088;An der Schmücke
G;16;0;65;089;Greußen
G;16;0;66;005;Belrieth
G;16;0;66;012;Birx
G;16;0;66;013;Breitungen/Werra
G;16;0;66;015;Christes
G;16;0;66;016;Dillstädt
G;16;0;66;017;Einhausen
G;16;0;66;018;Ellingshausen
G;16;0;66;019;Erbenhausen
G;16;0;66;022;Fambach
G;16;0;66;023;Floh-Seligenthal
G;16;0;66;024;Frankenheim/Rhön
G;16;0;66;025;Friedelshausen
G;16;0;66;038;Kühndorf
G;16;0;66;039;Leutersdorf
G;16;0;66;041;Mehmels
G;16;0;66;042;Meiningen
G;16;0;66;045;Neubrunn
G;16;0;66;047;Oberhof
G;16;0;66;049;Obermaßfeld-Grimmenthal
G;16;0;66;052;Oberweid
G;16;0;66;056;Rippershausen
G;16;0;66;057;Ritschenhausen
G;16;0;66;058;Rohr
G;16;0;66;059;Rosa
G;16;0;66;061;Roßdorf
G;16;0;66;063;Schmalkalden, Kurort
G;16;0;66;064;Schwallungen
G;16;0;66;065;Schwarza
G;16;0;66;069;Steinbach-Hallenberg, Kurort
G;16;0;66;073;Sülzfeld
G;16;0;66;074;Brotterode-Trusetal
G;16;0;66;076;Untermaßfeld
G;16;0;66;079;Utendorf
G;16;0;66;081;Vachdorf
G;16;0;66;086;Wasungen
G;16;0;66;092;Zella-Mehlis
G;16;0;66;093;Rhönblick
G;16;0;66;094;Grabfeld
G;16;0;66;095;Kaltennordheim
G;16;0;67;004;Bienstädt
G;16;0;67;009;Dachwig
G;16;0;67;011;Döllstädt
G;16;0;67;013;Emleben
G;16;0;67;016;Eschenbergen
G;16;0;67;019;Friedrichroda
G;16;0;67;022;Friemar
G;16;0;67;026;Gierstädt
G;16;0;67;029;Gotha
G;16;0;67;033;Großfahner
G;16;0;67;036;Herrenhof
G;16;0;67;044;Luisenthal
G;16;0;67;047;Molschleben
G;16;0;67;052;Nottleben
G;16;0;67;053;Ohrdruf
G;16;0;67;055;Pferdingsleben
G;16;0;67;059;Schwabhausen
G;16;0;67;063;Sonneborn
G;16;0;67;064;Bad Tabarz
G;16;0;67;065;Tambach-Dietharz/Thür. Wald
G;16;0;67;067;Tonna
G;16;0;67;068;Tröchtelborn
G;16;0;67;071;Tüttleben
G;16;0;67;072;Waltershausen
G;16;0;67;082;Zimmernsupra
G;16;0;67;087;Nesse-Apfelstädt
G;16;0;67;088;Hörsel
G;16;0;67;089;Drei Gleichen
G;16;0;67;091;Nessetal
G;16;0;67;092;Georgenthal
G;16;0;68;001;Alperstedt
G;16;0;68;002;Andisleben
G;16;0;68;005;Büchel
G;16;0;68;007;Eckstedt
G;16;0;68;009;Elxleben
G;16;0;68;013;Gangloffsömmern
G;16;0;68;014;Gebesee
G;16;0;68;015;Griefstedt
G;16;0;68;017;Großmölsen
G;16;0;68;019;Großneuhausen
G;16;0;68;021;Großrudestedt
G;16;0;68;022;Günstedt
G;16;0;68;025;Haßleben
G;16;0;68;032;Kleinmölsen
G;16;0;68;033;Kleinneuhausen
G;16;0;68;034;Kölleda
G;16;0;68;036;Markvippach
G;16;0;68;037;Nöda
G;16;0;68;039;Ollendorf
G;16;0;68;041;Ostramondra
G;16;0;68;042;Rastenberg
G;16;0;68;043;Riethgen
G;16;0;68;044;Riethnordhausen
G;16;0;68;045;Ringleben
G;16;0;68;048;Schloßvippach
G;16;0;68;049;Schwerstedt
G;16;0;68;051;Sömmerda
G;16;0;68;052;Sprötau
G;16;0;68;053;Straußfurt
G;16;0;68;055;Udestedt
G;16;0;68;056;Vogelsberg
G;16;0;68;057;Walschleben
G;16;0;68;058;Weißensee
G;16;0;68;059;Werningshausen
G;16;0;68;061;Witterda
G;16;0;68;062;Wundersleben
G;16;0;68;063;Buttstädt
G;16;0;68;064;Kindelbrück
G;16;0;69;001;Ahlstädt
G;16;0;69;003;Beinerstadt
